"Semester","Course","Instructor","Question","b","CI_Low","CI_High","Semester_nice","Instructor_nice","Course_nice"
"1","1","1","Overall",0.48288427582749,0.43126128794782,0.534507263707161,"Same","Same Instructor","Same Course"
"1","1","1","Fair",0.439991195112407,0.388722582709844,0.491259807514971,"Same","Same Instructor","Same Course"
"1","1","0","Overall",0.057838184195986,0.0319649142372828,0.0837114541546893,"Same","Different Instructor","Same Course"
"1","1","0","Fair",0.0568010379475665,0.0307414254205878,0.0828606504745452,"Same","Different Instructor","Same Course"
"1","0","1","Overall",0.0975501388325433,0.0383656751532941,0.156734602511793,"Same","Same Instructor","Different Course"
"1","0","1","Fair",0.136634415217069,0.0726694399350687,0.200599390499069,"Same","Same Instructor","Different Course"
"1","0","0","Overall",0.020057781990839,0.0133538108148096,0.0267617531668683,"Same","Different Instructor","Different Course"
"1","0","0","Fair",0.00999640105586528,0.00313543299416031,0.0168573691175702,"Same","Different Instructor","Different Course"
"0","0","0","Overall",2.70442831657244e-05,-0.000769208726619446,0.000823297292950895,"Different","Different Instructor","Different Course"
"0","0","0","Fair",-0.000431399543515123,-0.0012002517275598,0.000337452640529553,"Different","Different Instructor","Different Course"
"0","1","0","Overall",0.00564963473992324,0.0027329492581063,0.00856632022174017,"Different","Different Instructor","Same Course"
"0","1","0","Fair",0.0046335564132943,0.0017086167888841,0.0075584960377045,"Different","Different Instructor","Same Course"
"0","0","1","Overall",-0.061448434287227,-0.0693825768786268,-0.0535142916958271,"Different","Same Instructor","Different Course"
"0","0","1","Fair",-0.0508743390109735,-0.0588272643438717,-0.0429214136780752,"Different","Same Instructor","Different Course"
"0","1","1","Overall",0.0872694446269767,0.07820857529294,0.0963303139610134,"Different","Same Instructor","Same Course"
"0","1","1","Fair",0.0790178711166944,0.0698531018430511,0.0881826403903376,"Different","Same Instructor","Same Course"
